代码,展示代码,名称,行业,市场,市值,中证全指权重,最新成交额,纳入日期
sz300450,300450.SZ,先导智能,电力设备,深交所,112119500116.0,0.104,3597587235.0,2026-05-09
sz002241,002241.SZ,歌尔股份,电子,深交所,112119500116.0,0.104,2431567884.0,2026-05-09
sh600118,600118.SH,中国卫星,国防军工,上交所,112119500116.0,0.104,9819450099.0,2026-05-09
sz000426,000426.SZ,兴业银锡,有色金属,深交所,111041427999.5,0.103,5533776113.0,2026-05-09
sz300548,300548.SZ,长芯博创,通信,深交所,111041427999.5,0.103,4353450253.0,2026-05-09
sz002625,002625.SZ,光启技术,国防军工,深交所,108885283766.5,0.101,1240758425.0,2026-05-09
sh600905,600905.SH,三峡能源,公用事业,上交所,107807211650.0,0.1,966587561.0,2026-05-09
sh688111,688111.SH,金山办公,计算机,上交所,107807211650.0,0.1,4005186805.0,2026-05-09
sh600999,600999.SH,招商证券,非银金融,上交所,107807211650.0,0.1,477309660.0,2026-05-09
sh601818,601818.SH,光大银行,银行,上交所,106729139533.5,0.099,227989623.0,2026-05-09
sh688347,688347.SH,华虹公司,电子,上交所,106729139533.5,0.099,4959821976.0,2026-05-09
sz300475,300475.SZ,香农芯创,电子,深交所,105651067417.0,0.098,8431637472.0,2026-05-09
sh601872,601872.SH,招商轮船,交通运输,上交所,105651067417.0,0.098,4585543912.0,2026-05-09
sh600426,600426.SH,华鲁恒升,基础化工,上交所,105651067417.0,0.098,714724881.0,2026-05-09
sh601100,601100.SH,恒立液压,机械设备,上交所,104572995300.5,0.097,1783667388.0,2026-05-09
sh601658,601658.SH,邮储银行,银行,上交所,103494923184.0,0.096,512929258.0,2026-05-09
sz002837,002837.SZ,英维克,机械设备,深交所,101338778951.0,0.094,4566607220.0,2026-05-09
sh605117,605117.SH,德业股份,电力设备,上交所,101338778951.0,0.094,1634169594.0,2026-05-09
sh600019,600019.SH,宝钢股份,钢铁,上交所,101338778951.0,0.094,577360673.0,2026-05-09
sh688271,688271.SH,联影医疗,医药生物,上交所,100260706834.5,0.093,1386257782.0,2026-05-09
sh601336,601336.SH,新华保险,非银金融,上交所,99182634718.0,0.092,1054091326.0,2026-05-09
sz002001,002001.SZ,新和成,基础化工,深交所,99182634718.0,0.092,886476223.0,2026-05-09
sh688002,688002.SH,睿创微纳,国防军工,上交所,99182634718.0,0.092,1129664597.0,2026-05-09
sh600673,600673.SH,东阳光,综合,上交所,98104562601.5,0.091,9091907866.0,2026-05-09
sz000657,000657.SZ,中钨高新,有色金属,深交所,98104562601.5,0.091,6522225957.0,2026-05-09
sz002049,002049.SZ,紫光国微,电子,深交所,97026490485.0,0.09,2823869430.0,2026-05-09
sh601689,601689.SH,拓普集团,汽车,上交所,97026490485.0,0.09,4838889385.0,2026-05-09
sh601825,601825.SH,沪农商行,银行,上交所,95948418368.5,0.089,214882190.0,2026-05-09
sh601390,601390.SH,中国中铁,建筑装饰,上交所,95948418368.5,0.089,536049321.0,2026-05-09
sh601727,601727.SH,上海电气,电力设备,上交所,94870346252.0,0.088,961720379.0,2026-05-09
sz002600,002600.SZ,领益智造,电子,深交所,94870346252.0,0.088,3576552629.0,2026-05-09
sz300433,300433.SZ,蓝思科技,电子,深交所,94870346252.0,0.088,3473797188.0,2026-05-09
sh600585,600585.SH,海螺水泥,建筑材料,上交所,93792274135.5,0.087,745109901.0,2026-05-09
sz000933,000933.SZ,神火股份,有色金属,深交所,93792274135.5,0.087,1932415946.0,2026-05-09
sh688777,688777.SH,中控技术,机械设备,上交所,92714202019.0,0.086,1881782359.0,2026-05-09
sz002938,002938.SZ,鹏鼎控股,电子,深交所,92714202019.0,0.086,2562557267.0,2026-05-09
sz300015,300015.SZ,爱尔眼科,医药生物,深交所,92714202019.0,0.086,718260944.0,2026-05-09
sz002648,002648.SZ,卫星化学,基础化工,深交所,92714202019.0,0.086,1595424056.0,2026-05-09
sz000630,000630.SZ,铜陵有色,有色金属,深交所,91636129902.5,0.085,2509362963.0,2026-05-09
sh601168,601168.SH,西部矿业,有色金属,上交所,91636129902.5,0.085,2204146206.0,2026-05-09
sh600105,600105.SH,永鼎股份,通信,上交所,91636129902.5,0.085,10137886394.0,2026-05-09
sh600160,600160.SH,巨化股份,基础化工,上交所,91636129902.5,0.085,1193673872.0,2026-05-09
sh601838,601838.SH,成都银行,银行,上交所,90558057786.0,0.084,369854320.0,2026-05-09
sz002812,002812.SZ,恩捷股份,电力设备,深交所,90558057786.0,0.084,3921899234.0,2026-05-09
sz002851,002851.SZ,麦格米特,电力设备,深交所,90558057786.0,0.084,2339145071.0,2026-05-09
sh688120,688120.SH,华海清科,电子,上交所,90558057786.0,0.084,1160641917.0,2026-05-09
sz002195,002195.SZ,岩山科技,计算机,深交所,90558057786.0,0.084,2054997852.0,2026-05-09
sh600958,600958.SH,东方证券,非银金融,上交所,90558057786.0,0.084,1344924003.0,2026-05-09
sz300757,300757.SZ,罗博特科,机械设备,深交所,89479985669.5,0.083,3474581383.0,2026-05-09
sh601669,601669.SH,中国电建,建筑装饰,上交所,89479985669.5,0.083,2273150674.0,2026-05-09
sh603083,603083.SH,剑桥科技,通信,上交所,89479985669.5,0.083,5492366333.0,2026-05-09
sh600875,600875.SH,东方电气,电力设备,上交所,88401913553.0,0.082,4959756757.0,2026-05-09
sh600703,600703.SH,三安光电,电子,上交所,88401913553.0,0.082,3726440304.0,2026-05-09
sh600438,600438.SH,通威股份,电力设备,上交所,87323841436.5,0.081,1051610430.0,2026-05-09
sz002436,002436.SZ,兴森科技,电子,深交所,87323841436.5,0.081,4558747422.0,2026-05-09
sz300054,300054.SZ,鼎龙股份,电子,深交所,87323841436.5,0.081,3474820583.0,2026-05-09
sz000538,000538.SZ,云南白药,医药生物,深交所,87323841436.5,0.081,375449084.0,2026-05-09
sz000625,000625.SZ,长安汽车,汽车,深交所,87323841436.5,0.081,839583440.0,2026-05-09
sh600066,600066.SH,宇通客车,汽车,上交所,87323841436.5,0.081,397691843.0,2026-05-09
sh600362,600362.SH,江西铜业,有色金属,上交所,87323841436.5,0.081,3352855794.0,2026-05-09
sz002340,002340.SZ,格林美,电力设备,深交所,86245769320.0,0.08,2145374640.0,2026-05-09
sh600346,600346.SH,恒力石化,石油石化,上交所,86245769320.0,0.08,1221120389.0,2026-05-09
sz002532,002532.SZ,天山铝业,有色金属,深交所,86245769320.0,0.08,1147257032.0,2026-05-09
sz002179,002179.SZ,中航光电,国防军工,深交所,86245769320.0,0.08,1399407988.0,2026-05-09
