代码,展示代码,名称,行业,中信细分行业,市场,板块,最新成交额,中证全指权重,概念数量,来源
sz000881,000881.SZ,中广核技,化工原料,其他化学制品,深交所,主板,127293491.0,0.0,25,全A基础池扩展补充
sh600764,600764.SH,中国海防,船舶,航海装备,上交所,主板,182840916.0,0.0,18,全A基础池扩展补充
sz301313,301313.SZ,凡拓数创,文教休闲,其他专业服务,深交所,创业板,125321826.0,0.0,22,全A基础池扩展补充
sz300688,300688.SZ,创业黑马,文教休闲,教育培训,深交所,创业板,124975806.0,0.0,21,全A基础池扩展补充
sz300099,300099.SZ,尤洛卡,电器仪表,能源及重型设备,深交所,创业板,373591143.0,0.0,14,全A基础池扩展补充
sz002132,002132.SZ,恒星科技,钢加工,金属制品,深交所,主板,1353636693.0,0.0,7,全A基础池扩展补充
sz002995,002995.SZ,天地在线,互联网,互联网广告,深交所,主板,146306268.0,0.0,19,全A基础池扩展补充
sz300317,300317.SZ,珈伟新能,电气设备,光伏发电,深交所,创业板,914650291.0,0.0,9,全A基础池扩展补充
sz002030,002030.SZ,达安基因,医疗保健,诊断试剂,深交所,主板,911797223.0,0.0,9,全A基础池扩展补充
sz002208,002208.SZ,合肥城建,区域地产,住宅开发,深交所,主板,1888266181.0,0.0,5,全A基础池扩展补充
sh600693,600693.SH,东百集团,百货,百货,上交所,主板,896181000.0,0.0,9,全A基础池扩展补充
sh688802,688802.SH,沐曦股份,半导体,集成电路设计,上交所,科创板,1545989657.0,0.0,6,全A基础池扩展补充
sh603716,603716.SH,塞力医疗,医药商业,医药流通,上交所,主板,294152173.0,0.0,15,全A基础池扩展补充
sz000530,000530.SZ,冰山冷热,机械基件,制冷空调设备,深交所,主板,167386086.0,0.0,18,全A基础池扩展补充
sh600711,600711.SH,盛屯矿业,小金属,钴,上交所,主板,1516932456.0,0.0,6,全A基础池扩展补充
sz300820,300820.SZ,英杰电气,电气设备,其他发电设备,深交所,创业板,872009835.0,0.0,9,全A基础池扩展补充
sz002903,002903.SZ,宇环数控,机床制造,机床制造,深交所,主板,598256072.0,0.0,11,全A基础池扩展补充
sz301310,301310.SZ,鑫宏业,汽车配件,其他汽车零部件,深交所,创业板,494827568.0,0.0,12,全A基础池扩展补充
sz000993,000993.SZ,闽东电力,水力发电,水力发电,深交所,主板,854726641.0,0.0,9,全A基础池扩展补充
sz301070,301070.SZ,开勒股份,机械基件,其他通用设备,深交所,创业板,580553913.0,0.0,11,全A基础池扩展补充
sh600310,600310.SH,广西能源,水力发电,水力发电,上交所,主板,1005932138.0,0.0,8,全A基础池扩展补充
sz002375,002375.SZ,亚厦股份,装修装饰,装修装饰,深交所,主板,479540441.0,0.0,12,全A基础池扩展补充
sh688795,688795.SH,摩尔线程,半导体,集成电路设计,上交所,科创板,2511177762.0,0.0,3,全A基础池扩展补充
sz300648,300648.SZ,星云股份,电气设备,锂电设备,深交所,创业板,330890597.0,0.0,14,全A基础池扩展补充
sh603938,603938.SH,三孚股份,化工原料,其他化学原料,上交所,主板,1729707319.0,0.0,5,全A基础池扩展补充
sz300335,300335.SZ,迪森股份,供气供热,热力服务,深交所,创业板,325102629.0,0.0,14,全A基础池扩展补充
sz301079,301079.SZ,邵阳液压,机械基件,工程机械零件,深交所,创业板,388430464.0,0.0,13,全A基础池扩展补充
sz001280,001280.SZ,中国铀业,小金属,其他金属,深交所,主板,1409851584.0,0.0,6,全A基础池扩展补充
sh600654,600654.SH,中安科,仓储物流,其他专业服务,上交所,主板,465275824.0,0.0,12,全A基础池扩展补充
sh603088,603088.SH,宁波精达,机床制造,机床制造,上交所,主板,318707127.0,0.0,14,全A基础池扩展补充
sz300061,300061.SZ,旗天科技,互联网,其他广告营销,深交所,创业板,551064223.0,0.0,11,全A基础池扩展补充
