序号,代码,展示代码,名称,市场,行业,入池类型,入池批次,来源,来源行号,是否启用,更新频率,最新价,涨跌幅,涨跌额,成交量,成交额,最高,最低,今开,昨收,市盈率,量比,换手率,快照生成时间,本池生成时间
87,sh601882,601882.SH,海天精工,上交所,通用设备,重点关注快照初始种子,seed_from_focus_public_quote,03数据/04数据快照/重点关注池公开行情快照_最新.json,87,True,每个交易日盘后；必须早于收盘短线观察报告生成,23.57,-0.92,-0.22,83896,196236846.0,23.7,22.95,23.7,23.79,27.62,1.19,1.61,2026-05-11 13:28:35,2026-05-12 07:11:40
88,sz000837,000837.SZ,秦川机床,深交所,通用设备,重点关注快照初始种子,seed_from_focus_public_quote,03数据/04数据快照/重点关注池公开行情快照_最新.json,88,True,每个交易日盘后；必须早于收盘短线观察报告生成,11.75,-0.42,-0.05,205786,242351712.15,11.9,11.65,11.8,11.8,123.85,1.48,2.04,2026-05-11 13:28:35,2026-05-12 07:11:40
89,sz000063,000063.SZ,中兴通讯,深交所,通信设备,重点关注快照初始种子,seed_from_focus_public_quote,03数据/04数据快照/重点关注池公开行情快照_最新.json,89,True,每个交易日盘后；必须早于收盘短线观察报告生成,38.68,0.0,0.0,1174968,4583054465.56,39.49,38.56,39.2,38.68,35.3,1.36,2.92,2026-05-11 13:28:35,2026-05-12 07:11:40
90,sz300394,300394.SZ,天孚通信,深交所,通信设备,重点关注快照初始种子,seed_from_focus_public_quote,03数据/04数据快照/重点关注池公开行情快照_最新.json,90,True,每个交易日盘后；必须早于收盘短线观察报告生成,333.86,2.32,7.56,352368,11556286026.77,334.79,318.1,333.33,326.3,132.12,1.44,4.53,2026-05-11 13:28:35,2026-05-12 07:11:40
91,sh600941,600941.SH,中国移动,上交所,通信服务,重点关注快照初始种子,seed_from_focus_public_quote,03数据/04数据快照/重点关注池公开行情快照_最新.json,91,True,每个交易日盘后；必须早于收盘短线观察报告生成,97.27,0.61,0.59,71307,689680632.0,97.32,95.82,96.69,96.68,17.96,1.32,0.79,2026-05-11 13:28:35,2026-05-12 07:11:40
92,sh601633,601633.SH,长城汽车,上交所,乘用车,重点关注快照初始种子,seed_from_focus_public_quote,03数据/04数据快照/重点关注池公开行情快照_最新.json,92,True,每个交易日盘后；必须早于收盘短线观察报告生成,19.75,-0.25,-0.05,111541,219591580.0,19.83,19.65,19.81,19.8,44.69,1.18,0.18,2026-05-11 13:28:35,2026-05-12 07:11:40
93,sh600104,600104.SH,上汽集团,上交所,乘用车,重点关注快照初始种子,seed_from_focus_public_quote,03数据/04数据快照/重点关注池公开行情快照_最新.json,93,True,每个交易日盘后；必须早于收盘短线观察报告生成,13.56,-0.59,-0.08,274772,372292162.0,13.62,13.53,13.62,13.64,12.88,1.09,0.24,2026-05-11 13:28:35,2026-05-12 07:11:40
94,sz002920,002920.SZ,德赛西威,深交所,汽车零部件,重点关注快照初始种子,seed_from_focus_public_quote,03数据/04数据快照/重点关注池公开行情快照_最新.json,94,True,每个交易日盘后；必须早于收盘短线观察报告生成,104.16,-0.85,-0.89,73517,766223752.24,105.62,103.67,105.06,105.05,33.68,1.56,1.23,2026-05-11 13:28:35,2026-05-12 07:11:40
95,sh600660,600660.SH,福耀玻璃,上交所,汽车零部件,重点关注快照初始种子,seed_from_focus_public_quote,03数据/04数据快照/重点关注池公开行情快照_最新.json,95,True,每个交易日盘后；必须早于收盘短线观察报告生成,59.49,-0.83,-0.5,91512,545767654.0,60.01,59.25,59.98,59.99,22.68,0.76,0.46,2026-05-11 13:28:35,2026-05-12 07:11:40
96,sz000338,000338.SZ,潍柴动力,深交所,汽车零部件,重点关注快照初始种子,seed_from_focus_public_quote,03数据/04数据快照/重点关注池公开行情快照_最新.json,96,True,每个交易日盘后；必须早于收盘短线观察报告生成,33.3,0.73,0.24,705671,2353025830.82,33.85,32.99,33.5,33.06,23.51,0.82,1.41,2026-05-11 13:28:35,2026-05-12 07:11:40
97,sz002714,002714.SZ,牧原股份,深交所,养殖业,重点关注快照初始种子,seed_from_focus_public_quote,03数据/04数据快照/重点关注池公开行情快照_最新.json,97,True,每个交易日盘后；必须早于收盘短线观察报告生成,44.7,2.74,1.19,510417,2262840580.52,45.1,43.2,43.85,43.51,-53.1,1.76,1.34,2026-05-11 13:28:35,2026-05-12 07:11:40
98,sz300498,300498.SZ,温氏股份,深交所,养殖业,重点关注快照初始种子,seed_from_focus_public_quote,03数据/04数据快照/重点关注池公开行情快照_最新.json,98,True,每个交易日盘后；必须早于收盘短线观察报告生成,16.21,0.93,0.15,339115,547738910.1,16.31,15.86,16.08,16.06,-25.2,1.07,0.57,2026-05-11 13:28:35,2026-05-12 07:11:40
99,sz002311,002311.SZ,海大集团,深交所,饲料,重点关注快照初始种子,seed_from_focus_public_quote,03数据/04数据快照/重点关注池公开行情快照_最新.json,99,True,每个交易日盘后；必须早于收盘短线观察报告生成,46.95,0.97,0.45,122537,569704543.44,47.38,45.85,46.82,46.5,21.77,1.53,0.75,2026-05-11 13:28:35,2026-05-12 07:11:40
100,sh601111,601111.SH,中国国航,上交所,航空机场,重点关注快照初始种子,seed_from_focus_public_quote,03数据/04数据快照/重点关注池公开行情快照_最新.json,100,True,每个交易日盘后；必须早于收盘短线观察报告生成,7.11,-2.47,-0.18,869892,618377372.0,7.21,7.05,7.2,7.29,18.09,1.25,0.75,2026-05-11 13:28:35,2026-05-12 07:11:40
101,sz002352,002352.SZ,顺丰控股,深交所,物流,重点关注快照初始种子,seed_from_focus_public_quote,03数据/04数据快照/重点关注池公开行情快照_最新.json,101,True,每个交易日盘后；必须早于收盘短线观察报告生成,37.13,-1.51,-0.57,205475,767210006.0,37.8,37.11,37.8,37.7,18.52,1.09,0.43,2026-05-11 13:28:35,2026-05-12 07:11:40
102,sz001965,001965.SZ,招商公路,深交所,铁路公路,重点关注快照初始种子,seed_from_focus_public_quote,03数据/04数据快照/重点关注池公开行情快照_最新.json,102,True,每个交易日盘后；必须早于收盘短线观察报告生成,9.57,0.74,0.07,57052,54354951.21,9.58,9.42,9.5,9.5,12.05,0.79,0.08,2026-05-11 13:28:35,2026-05-12 07:11:40
103,sh601668,601668.SH,中国建筑,上交所,房屋建设Ⅱ,重点关注快照初始种子,seed_from_focus_public_quote,03数据/04数据快照/重点关注池公开行情快照_最新.json,103,True,每个交易日盘后；必须早于收盘短线观察报告生成,4.98,1.43,0.07,2302495,1139403825.0,4.98,4.9,4.91,4.91,3.71,1.81,0.56,2026-05-11 13:28:35,2026-05-12 07:11:40
