所属池,代码,展示代码,名称,市场,行业,细分领域,名单分类,来源,入池理由,评分,阶段用途
300只试运行池,sz002049,002049.SZ,紫光国微,深交所,主板,,,深交所官方证券列表,重点关注池强制保留,999.0,盘后主输入；指标扩面目标
300只试运行池,sz002028,002028.SZ,思源电气,深交所,主板,,,深交所官方证券列表,重点关注池强制保留,999.0,盘后主输入；指标扩面目标
300只试运行池,sh600580,600580.SH,卧龙电驱,上交所,,,,重点关注池,重点关注池强制保留,999.0,盘后主输入；指标扩面目标
300只试运行池,sh688041,688041.SH,海光信息,上交所,,,,重点关注池,重点关注池强制保留,999.0,盘后主输入；指标扩面目标
300只试运行池,sh603986,603986.SH,兆易创新,上交所,,,,重点关注池,重点关注池强制保留,999.0,盘后主输入；指标扩面目标
300只试运行池,sz300724,300724.SZ,捷佳伟创,深交所,创业板,,,深交所官方证券列表,重点关注池强制保留,999.0,盘后主输入；指标扩面目标
300只试运行池,sh688235,688235.SH,百济神州,上交所,,,,重点关注池,重点关注池强制保留,999.0,盘后主输入；指标扩面目标
300只试运行池,sz300308,300308.SZ,中际旭创,深交所,创业板,,,深交所官方证券列表,重点关注池强制保留,999.0,盘后主输入；指标扩面目标
300只试运行池,sh600198,600198.SH,大唐电信,上交所,,,,重点关注池,重点关注池强制保留,999.0,盘后主输入；指标扩面目标
300只试运行池,sz002281,002281.SZ,光迅科技,深交所,主板,,,深交所官方证券列表,重点关注池强制保留,999.0,盘后主输入；指标扩面目标
300只试运行池,sh600519,600519.SH,贵州茅台,上交所,,,,当前合并股票池,当前合并股票池强制保留,999.0,盘后主输入；指标扩面目标
300只试运行池,sz300750,300750.SZ,宁德时代,深交所,创业板,,,深交所官方证券列表,当前合并股票池强制保留,999.0,盘后主输入；指标扩面目标
300只试运行池,sz002594,002594.SZ,比亚迪,深交所,主板,,,深交所官方证券列表,当前合并股票池强制保留,999.0,盘后主输入；指标扩面目标
300只试运行池,sz000001,000001.SZ,平安银行,深交所,主板,,,深交所官方证券列表,成交活跃、市值代表性和行业覆盖综合入池,40.0,盘后主输入；指标扩面目标
300只试运行池,sz000002,000002.SZ,万科Ａ,深交所,主板,,,深交所官方证券列表,成交活跃、市值代表性和行业覆盖综合入池,40.0,盘后主输入；指标扩面目标
300只试运行池,sz000006,000006.SZ,深振业Ａ,深交所,主板,,,深交所官方证券列表,成交活跃、市值代表性和行业覆盖综合入池,40.0,盘后主输入；指标扩面目标
300只试运行池,sz000007,000007.SZ,全新好,深交所,主板,,,深交所官方证券列表,成交活跃、市值代表性和行业覆盖综合入池,40.0,盘后主输入；指标扩面目标
300只试运行池,sz000008,000008.SZ,神州高铁,深交所,主板,,,深交所官方证券列表,成交活跃、市值代表性和行业覆盖综合入池,40.0,盘后主输入；指标扩面目标
300只试运行池,sz000009,000009.SZ,中国宝安,深交所,主板,,,深交所官方证券列表,成交活跃、市值代表性和行业覆盖综合入池,40.0,盘后主输入；指标扩面目标
300只试运行池,sz000011,000011.SZ,深物业A,深交所,主板,,,深交所官方证券列表,成交活跃、市值代表性和行业覆盖综合入池,40.0,盘后主输入；指标扩面目标
300只试运行池,sz000012,000012.SZ,南玻Ａ,深交所,主板,,,深交所官方证券列表,成交活跃、市值代表性和行业覆盖综合入池,40.0,盘后主输入；指标扩面目标
300只试运行池,sz000014,000014.SZ,沙河股份,深交所,主板,,,深交所官方证券列表,成交活跃、市值代表性和行业覆盖综合入池,40.0,盘后主输入；指标扩面目标
300只试运行池,sz000017,000017.SZ,深中华A,深交所,主板,,,深交所官方证券列表,成交活跃、市值代表性和行业覆盖综合入池,40.0,盘后主输入；指标扩面目标
300只试运行池,sz000019,000019.SZ,深粮控股,深交所,主板,,,深交所官方证券列表,成交活跃、市值代表性和行业覆盖综合入池,40.0,盘后主输入；指标扩面目标
300只试运行池,sz000020,000020.SZ,深华发Ａ,深交所,主板,,,深交所官方证券列表,成交活跃、市值代表性和行业覆盖综合入池,40.0,盘后主输入；指标扩面目标
300只试运行池,sz000021,000021.SZ,深科技,深交所,主板,,,深交所官方证券列表,成交活跃、市值代表性和行业覆盖综合入池,40.0,盘后主输入；指标扩面目标
300只试运行池,sz000025,000025.SZ,特力Ａ,深交所,主板,,,深交所官方证券列表,成交活跃、市值代表性和行业覆盖综合入池,40.0,盘后主输入；指标扩面目标
300只试运行池,sz000026,000026.SZ,飞亚达,深交所,主板,,,深交所官方证券列表,成交活跃、市值代表性和行业覆盖综合入池,40.0,盘后主输入；指标扩面目标
300只试运行池,sz000027,000027.SZ,深圳能源,深交所,主板,,,深交所官方证券列表,成交活跃、市值代表性和行业覆盖综合入池,40.0,盘后主输入；指标扩面目标
300只试运行池,sz000028,000028.SZ,国药一致,深交所,主板,,,深交所官方证券列表,成交活跃、市值代表性和行业覆盖综合入池,40.0,盘后主输入；指标扩面目标
