"代码","展示代码","名称","市场","行业","细分领域","名单分类","来源","入池理由","评分","所属池","阶段用途"
"sh688183","688183.SH","生益电子","","科创板","","中证500","index_base","","","L7可交易过滤池","盘后辅助；大样本过滤入口"
"sh688187","688187.SH","时代电气","","科创板","","沪深300","index_base","","","L7可交易过滤池","盘后辅助；大样本过滤入口"
"sh688188","688188.SH","柏楚电子","","科创板","","中证500","index_base","","","L7可交易过滤池","盘后辅助；大样本过滤入口"
"sh688192","688192.SH","迪哲医药","","科创板","","中证500","index_base","","","L7可交易过滤池","盘后辅助；大样本过滤入口"
"sh688213","688213.SH","思特威","","科创板","","中证500","index_base","","","L7可交易过滤池","盘后辅助；大样本过滤入口"
"sh688220","688220.SH","翱捷科技","","科创板","","中证500","index_base","","","L7可交易过滤池","盘后辅助；大样本过滤入口"
"sh688223","688223.SH","晶科能源","","科创板","","沪深300","index_base","","","L7可交易过滤池","盘后辅助；大样本过滤入口"
"sh688234","688234.SH","天岳先进","","半导体","第三代半导体材料","半导体","""user_enhance""；""index_base""","","","L7可交易过滤池","盘后辅助；大样本过滤入口"
"sh688235","688235.SH","百济神州","","医药医疗","抗肿瘤创新药","医药/医疗","""user_enhance""；""index_base""","","","L7可交易过滤池","盘后辅助；大样本过滤入口"
"sh688248","688248.SH","南网科技","","科创板","","中证500","index_base","","","L7可交易过滤池","盘后辅助；大样本过滤入口"
"sh688256","688256.SH","寒武纪","","半导体","AI芯片、智能处理器","AI算力","""user_enhance""；""index_base""","","","L7可交易过滤池","盘后辅助；大样本过滤入口"
"sh688266","688266.SH","泽璟制药","","科创板","","中证500","index_base","","","L7可交易过滤池","盘后辅助；大样本过滤入口"
"sh688271","688271.SH","联影医疗","","科创板","","沪深300","index_base","","","L7可交易过滤池","盘后辅助；大样本过滤入口"
"sh688278","688278.SH","特宝生物","","科创板","","中证500","index_base","","","L7可交易过滤池","盘后辅助；大样本过滤入口"
"sh688281","688281.SH","华秦科技","","科创板","","中证500","index_base","","","L7可交易过滤池","盘后辅助；大样本过滤入口"
"sh688295","688295.SH","中复神鹰","","科创板","","中证500","index_base","","","L7可交易过滤池","盘后辅助；大样本过滤入口"
"sh688297","688297.SH","中无人机","","科创板","","中证500","index_base","","","L7可交易过滤池","盘后辅助；大样本过滤入口"
"sh688301","688301.SH","奕瑞科技","","科创板","","中证500","index_base","","","L7可交易过滤池","盘后辅助；大样本过滤入口"
"sh688303","688303.SH","大全能源","","科创板","","沪深300","index_base","","","L7可交易过滤池","盘后辅助；大样本过滤入口"
"sh688305","688305.SH","科德数控","","机械设备","五轴联动龙门","机械设备","""user_enhance""；""strategic""","用户增强观察池重点关注；未纳入L8指数基底池；机械设备；五轴联动龙门","","L7可交易过滤池","盘后辅助；大样本过滤入口"
